Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kawhi Leonard,97,"$32,742,000",SF,28,LAC,51,51,32.2,9.3,19.9,0.469,2.1,5.7,0.366,7.2,14.2,0.51,0.521,6.1,6.9,0.889,1,6.3,7.3,5,1.8,0.6,2.7,1.9,26.9
LeBron James,97,"$37,436,858",PG,35,LAL,60,60,34.9,9.8,19.6,0.498,2.2,6.4,0.349,7.6,13.3,0.57,0.555,4,5.7,0.697,1,6.9,7.9,10.6,1.2,0.5,4,1.8,25.7
James Harden,96,"$38,199,000",SG,30,HOU,61,61,36.7,9.9,22.7,0.435,4.4,12.6,0.352,5.4,10.1,0.538,0.533,10.1,11.8,0.861,1,5.3,6.4,7.4,1.7,0.9,4.5,3.4,34.4
Giannis Antetokounmpo,96,"$25,842,697",PF,25,MIL,57,57,30.9,10.9,20,0.547,1.5,4.8,0.306,9.5,15.2,0.622,0.583,6.3,10,0.633,2.3,11.5,13.7,5.8,1,1,3.7,3,29.6
Stephen Curry,95,"$40,231,758",PG,31,GSW,5,5,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.476,5.2,5.2,1,0.8,4.4,5.2,6.6,1,0.4,3.2,2.2,20.8
Anthony Davis,94,"$27,093,019",PF,26,LAL,55,55,34.3,9.2,18.1,0.511,1.2,3.5,0.335,8.1,14.5,0.554,0.544,7,8.3,0.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7
Paul George,93,"$33,005,556",SF,29,LAC,42,42,29.1,6.9,16,0.432,3.2,7.9,0.399,3.8,8.1,0.463,0.53,3.9,4.5,0.882,0.5,5.2,5.7,3.9,1.3,0.5,2.7,2.4,21
Damian Lillard,92,"$29,802,321",PG,29,POR,58,58,36.9,9.2,20,0.457,3.9,9.9,0.394,5.3,10.2,0.518,0.554,6.7,7.6,0.888,0.5,3.8,4.3,7.8,1,0.4,2.9,1.7,28.9
Kyrie Irving,91,"$31,742,000",PG,27,BRK,20,20,32.9,10,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
Joel Embiid,91,"$27,504,630",C,25,PHI,44,44,30.2,7.5,15.9,0.474,1.3,3.7,0.348,6.3,12.3,0.511,0.514,7.1,8.7,0.814,2.8,9,11.8,3.1,0.9,1.3,3.1,3.4,23.4
